old_path,new_path,category,purpose,generated_by,notes
data/higher_contests/apmo_imo_changelog.txt,3 Processed Data/Higher Contests/APMO and IMO Changelog.txt,Provenance,Higher-contest extraction and matching history,extract_apmo_imo_results.py,Human-facing file renamed
scripts/audit_emic_name_outputs.py,2 Processing Scripts/audit_emic_name_outputs.py,Code,Full structural and identity audit,Maintained manually,Python filename retained
scripts/build_contest_data_analysis.py,2 Processing Scripts/build_contest_data_analysis.py,Code,Country export generator,Maintained manually,Python filename retained
scripts/build_imo_name_reference.py,2 Processing Scripts/build_imo_name_reference.py,Code,IMO name-reference cache builder,Maintained manually,Python filename retained
scripts/combine_emic_iwymic_contestants.py,2 Processing Scripts/combine_emic_iwymic_contestants.py,Code,Combined roster builder,Maintained manually,Python filename retained
scripts/emic_name_review.py,2 Processing Scripts/emic_name_review.py,Code,Shared name review rules,Maintained manually,Python filename retained
scripts/extract_apmo_imo_results.py,2 Processing Scripts/extract_apmo_imo_results.py,Code,Higher-contest extractor and matcher,Maintained manually,Python filename retained
scripts/extract_emic_keystage2_results.py,2 Processing Scripts/extract_emic_keystage2_results.py,Code,EMIC extractor,Maintained manually,Python filename retained
scripts/extract_emic_keystage3_results.py,2 Processing Scripts/extract_emic_keystage3_results.py,Code,IWYMIC extractor,Maintained manually,Python filename retained
scripts/review_cross_stage_name_candidates.py,2 Processing Scripts/review_cross_stage_name_candidates.py,Code,Auxiliary near-name scoring,Maintained manually,Python filename retained
scripts/review_duplicate_name_candidates.py,2 Processing Scripts/review_duplicate_name_candidates.py,Code,Final duplicate review report,Maintained manually,Python filename retained
scripts/project_paths.py,2 Processing Scripts/project_paths.py,Code,Central canonical project paths,Maintained manually,Added during migration
Contest Data Analysis/1-Master,4 Country Analysis/1 Master,Country Analysis,All roster identities split by country,build_contest_data_analysis.py,Folder and files renamed for readability
Contest Data Analysis/2-EMIC,4 Country Analysis/2 EMIC,Country Analysis,EMIC identities split by country,build_contest_data_analysis.py,Folder and files renamed for readability
Contest Data Analysis/3-IWYMIC,4 Country Analysis/3 IWYMIC,Country Analysis,IWYMIC identities split by country,build_contest_data_analysis.py,Folder and files renamed for readability
Contest Data Analysis/4-APMO,4 Country Analysis/4 APMO,Country Analysis,APMO identities split by country,build_contest_data_analysis.py,Folder and files renamed for readability
Contest Data Analysis/5-IMO,4 Country Analysis/5 IMO,Country Analysis,IMO identities split by country,build_contest_data_analysis.py,Folder and files renamed for readability
